"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        75 years and over","3,207","±912","265","±301","13,432","±2,451","2,453","±830","13,110","±2,091","4,437","±928","2,484","±790","1,495","±602","478","±282","38,222","±4,122","9,520","±1,901","1,310","±505","3,150","±929","5,094","±1,318","5,006","±1,051","1,206","±414","2,840","±787","3,148","±980","1,627","±773","2,111","±791","5,591","±1,526","5,215","±1,477","5,343","±1,317","5,624","±1,513","2,245","±893","3,071","±688","1,140","±588","1,397","±543","5,415","±1,522","2,394","±1,126","5,973","±1,413","1,900","±707","6,015","±1,252","11,989","±2,021","869","±453","8,834","±1,909","2,879","±775","5,799","±1,649","8,598","±1,628","927","±503","8,597","±1,618","1,083","±504","5,986","±1,203","15,837","±2,494","1,568","±510","887","±385","9,348","±1,547","7,632","±1,538","1,443","±542","3,362","±785","575","±342","",""
"    Moved from abroad:","22,494","±4,952","5,275","±1,411","61,746","±7,659","12,260","±3,162","306,867","±16,022","40,760","±7,101","33,091","±5,416","6,204","±2,197","9,035","±2,213","299,482","±16,581","85,925","±9,493","12,782","±2,302","8,275","±1,768","95,558","±11,649","35,682","±4,712","13,101","±2,687","16,684","±3,445","25,455","±4,836","24,226","±4,546","8,178","±2,999","44,792","±5,965","66,941","±7,704","55,644","±7,125","30,177","±4,759","15,632","±3,415","29,478","±4,319","3,622","±1,307","12,943","±3,107","27,577","±5,041","4,990","±2,221","90,730","±9,234","11,340","±3,685","169,541","±11,106","86,461","±10,108","5,699","±2,430","54,262","±6,604","21,735","±4,351","23,558","±5,041","63,878","±8,252","11,889","±2,713","28,233","±5,889","6,078","±1,504","39,360","±7,578","319,607","±21,877","22,573","±3,717","1,856","±829","73,539","±8,646","82,568","±9,474","2,696","±980","20,033","±3,717","1,681","±1,003","",""
"        1 to 4 years","997","±626","385","±442","4,032","±1,525","537","±391","13,536","±2,379","2,310","±1,387","1,098","±668","321","±308","325","±287","16,979","±3,627","5,577","±1,731","796","±381","65","±130","5,281","±2,112","1,685","±710","318","±483","718","±525","1,230","±762","773","±550","686","±672","2,328","±1,125","2,120","±767","2,899","±1,491","1,318","±909","654","±562","730","±418","50","±76","383","±406","1,357","±867","108","±189","4,960","±1,591","1,297","±1,327","8,736","±2,250","5,052","±1,963","0","±175","1,664","±875","1,480","±822","621","±755","2,611","±1,338","1,340","±1,203","1,516","±1,279","148","±126","2,899","±1,810","24,020","±4,738","1,368","±849","12","±19","3,125","±1,235","5,148","±1,677","194","±161","725","±435","268","±339","",""
"        5 to 17 years","3,397","±1,800","697","±545","8,721","±2,300","2,525","±1,097","42,833","±5,324","6,483","±2,532","4,924","±2,064","687","±600","541","±413","43,633","±6,235","14,513","±3,541","1,802","±803","1,107","±568","15,222","±3,451","7,469","±2,240","2,197","±973","3,219","±1,427","4,389","±1,600","3,996","±1,647","1,041","±737","6,737","±1,656","9,247","±2,649","7,380","±1,918","5,932","±1,901","2,701","±1,435","3,536","±1,330","573","±626","1,792","±1,155","4,903","±2,037","925","±741","13,441","±3,126","1,386","±1,190","25,795","±4,361","16,596","±3,993","1,085","±1,016","8,726","±2,633","3,382","±1,209","4,142","±1,953","9,332","±2,968","1,732","±1,297","4,909","±1,691","738","±517","8,266","±3,824","55,020","±7,918","2,772","±1,473","130","±158","13,907","±3,589","13,124","±3,802","245","±264","3,581","±1,405","161","±163","",""
"        18 and 19 years","1,578","±681","0","±172","2,062","±996","380","±232","15,710","±2,268","1,812","±808","1,281","±693","185","±223","673","±446","10,518","±2,690","3,056","±987","798","±494","993","±755","4,644","±1,096","2,397","±797","1,364","±821","1,027","±664","626","±385","1,144","±635","612","±481","1,838","±880","8,591","±1,653","3,257","±1,025","2,137","±807","1,888","±708","871","±346","61","±63","431","±284","448","±430","214","±343","3,649","±1,353","330","±224","10,864","±1,979","2,818","±1,120","91","±96","4,549","±1,489","1,095","±476","1,088","±628","5,462","±1,225","1,197","±778","1,424","±855","284","±188","1,045","±636","10,367","±1,863","928","±485","260","±267","2,923","±780","4,128","±1,578","174","±184","1,667","±802","118","±116","",""
"        20 to 24 years","1,862","±705","751","±398","6,772","±1,763","1,332","±900","40,260","±5,389","6,146","±1,727","4,260","±1,604","646","±450","1,494","±500","30,803","±4,270","8,694","±2,066","1,751","±696","1,524","±813","14,461","±3,872","4,687","±1,306","1,576","±841","2,408","±1,190","3,891","±1,560","2,097","±886","741","±411","4,737","±1,584","8,245","±1,670","8,502","±2,270","3,776","±1,008","1,891","±882","5,313","±1,283","273","±202","1,670","±876","2,190","±1,162","1,065","±821","11,570","±2,736","1,512","±860","25,305","±3,076","13,820","±2,577","749","±602","8,268","±2,023","3,771","±1,316","3,146","±1,737","9,265","±1,920","979","±817","2,672","±1,007","928","±454","4,824","±1,799","37,903","±5,515","6,580","±1,741","394","±328","7,352","±1,791","10,524","±2,668","447","±371","2,129","±795","313","±228","",""
"        25 to 29 years","3,843","±1,800","510","±274","9,882","±2,408","1,083","±703","38,190","±4,139","5,999","±1,881","4,386","±1,449","1,237","±1,023","1,141","±557","33,010","±4,633","12,681","±2,873","1,217","±396","1,080","±559","10,316","±2,576","5,132","±1,287","798","±501","2,556","±1,160","3,811","±999","2,621","±882","628","±453","5,529","±1,687","7,670","±1,752","8,403","±1,825","2,895","±1,085","1,441","±813","3,782","±1,402","302","±226","1,679","±786","3,466","±1,122","442","±360","9,222","±1,813","1,691","±885","21,515","±3,463","8,805","±1,841","839","±553","7,786","±2,188","3,093","±1,346","3,348","±1,013","6,804","±1,961","866","±526","2,498","±1,271","1,540","±910","4,248","±1,774","38,650","±4,770","3,204","±1,231","180","±93","7,785","±1,944","9,311","±2,101","226","±247","2,917","±1,116","0","±213","",""
"        30 to 34 years","1,253","±505","714","±419","7,555","±2,239","1,287","±654","34,841","±3,691","3,282","±1,332","4,532","±1,766","777","±559","1,838","±860","29,986","±4,352","8,310","±1,976","960","±546","741","±571","13,591","±3,089","3,428","±1,103","1,436","±674","2,043","±1,081","2,844","±930","3,194","±1,440","2,253","±1,315","5,095","±1,860","6,998","±1,894","4,552","±1,286","3,151","±1,181","939","±532","3,672","±1,234","550","±313","2,105","±1,205","2,155","±1,008","790","±942","8,072","±2,043","1,133","±717","18,794","±3,090","10,482","±2,223","1,491","±1,857","4,098","±1,201","2,250","±892","2,544","±1,219","5,934","±1,632","1,081","±728","3,243","±1,566","253","±254","3,343","±1,597","39,829","±5,981","2,421","±1,120","99","±141","6,636","±1,617","8,775","±2,086","174","±182","1,634","±865","471","±452","",""
"        35 to 39 years","2,822","±1,814","950","±561","5,292","±1,486","1,281","±709","24,735","±3,052","3,310","±1,132","2,011","±806","305","±333","1,036","±781","27,265","±4,717","7,401","±1,638","1,071","±424","1,109","±903","7,084","±1,752","2,345","±1,028","808","±446","1,305","±633","1,954","±824","3,260","±1,423","1,049","±763","4,080","±1,311","6,674","±2,118","4,476","±1,215","2,258","±915","924","±524","2,918","±1,234","196","±231","791","±456","3,204","±1,353","0","±200","7,895","±1,768","686","±620","15,025","±2,074","6,603","±2,007","366","±341","4,790","±1,545","1,221","±585","2,752","±1,562","6,691","±1,944","1,181","±1,154","2,251","±1,245","287","±215","4,151","±1,707","28,985","±4,113","1,199","±579","319","±306","5,623","±1,416","9,210","±1,997","253","±187","1,130","±936","37","±9","",""
"        40 to 44 years","1,800","±1,639","162","±180","3,333","±1,279","752","±760","20,040","±2,878","2,453","±1,055","2,212","±1,159","204","±224","417","±296","22,012","±4,472","5,762","±1,865","1,340","±562","266","±286","5,554","±1,737","2,290","±1,043","1,191","±651","591","±277","2,077","±833","1,294","±528","190","±213","2,857","±1,058","5,119","±1,562","3,674","±1,181","1,717","±637","1,512","±704","1,639","±862","549","±344","1,129","±715","893","±524","122","±190","6,427","±2,023","757","±536","7,546","±1,731","5,507","±1,471","153","±160","3,376","±1,307","728","±387","533","±339","4,570","±1,372","169","±285","1,620","±915","148","±191","2,864","±1,701","22,864","±4,266","515","±339","114","±185","6,426","±2,202","4,074","±1,226","410","±262","1,551","±683","148","±218","",""
"        45 to 49 years","496","±438","164","±183","2,710","±1,204","1,237","±795","12,696","±1,940","2,378","±1,087","1,661","±926","564","±577","135","±160","16,626","±3,042","4,258","±1,502","672","±451","210","±180","4,809","±1,629","868","±550","216","±207","544","±399","1,566","±688","2,706","±1,183","486","±696","2,480","±961","2,086","±731","2,874","±1,065","1,052","±480","1,008","±558","1,594","±1,132","649","±491","538","±367","1,349","±758","345","±296","4,650","±1,392","884","±540","8,011","±1,572","3,337","±1,065","94","±137","2,740","±1,197","742","±512","648","±421","1,476","±853","1,264","±834","1,279","±629","169","±158","2,111","±1,069","15,565","±3,309","481","±371","0","±170","4,414","±1,434","3,194","±1,244","0","±206","826","±512","81","±174","",""
"        50 to 54 years","617","±537","419","±462","1,583","±895","266","±327","10,467","±1,989","2,255","±1,748","1,573","±966","679","±564","199","±200","11,561","±2,364","3,883","±1,334","96","±114","245","±261","2,704","±1,103","849","±607","993","±674","211","±232","485","±330","494","±346","109","±155","1,958","±834","2,306","±1,116","1,123","±612","872","±518","576","±435","1,056","±627","96","±176","519","±405","1,087","±732","267","±380","2,893","±1,002","186","±240","6,557","±2,000","3,194","±1,216","13","±31","1,657","±691","612","±368","1,284","±746","1,797","±781","19","±35","1,541","±864","703","±706","920","±528","10,000","±2,353","561","±401","0","±170","4,728","±1,528","3,349","±1,834","94","±127","804","±484","84","±151","",""
"        55 to 59 years","855","±523","23","±41","1,312","±579","281","±243","10,012","±1,655","1,431","±625","1,433","±692","109","±150","196","±218","12,774","±2,705","1,846","±911","386","±238","175","±108","1,813","±683","757","±387","773","±457","892","±595","893","±504","802","±451","0","±179","1,208","±557","1,160","±553","2,451","±877","943","±561","299","±214","1,657","±936","101","±97","102","±102","2,635","±1,225","144","±177","3,890","±1,374","406","±387","4,211","±1,211","3,557","±1,492","444","±407","1,269","±675","733","±559","571","±440","2,578","±791","559","±594","938","±506","78","±99","1,193","±683","9,930","±2,179","344","±351","91","±112","3,177","±1,168","2,414","±982","0","±206","941","±427","0","±213","",""
"        60 to 64 years","853","±472","20","±33","2,326","±933","99","±107","10,044","±1,615","1,159","±588","1,601","±1,026","111","±131","578","±853","11,613","±2,613","2,705","±989","459","±302","55","±77","3,436","±1,381","1,115","±433","181","±180","298","±220","671","±442","479","±304","59","±79","1,543","±754","1,781","±697","1,583","±602","1,160","±571","639","±379","885","±392","13","±23","807","±541","1,150","±701","92","±153","3,563","±1,238","538","±493","5,489","±1,630","1,980","±766","36","±61","1,223","±662","869","±429","945","±607","2,762","±1,147","313","±358","1,334","±836","345","±280","1,751","±900","9,116","±2,136","132","±128","0","±170","3,129","±1,417","4,194","±1,294","114","±202","745","±442","0","±213","",""
"        65 to 69 years","826","±480","24","±39","1,561","±677","255","±250","10,406","±1,609","647","±372","588","±413","108","±124","253","±257","10,961","±2,176","1,960","±741","384","±340","247","±25","1,373","±606","862","±585","603","±427","217","±225","352","±239","626","±400","189","±172","1,551","±822","2,502","±1,003","1,806","±774","761","±473","354","±303","599","±341","74","±82","102","±127","473","±323","119","±138","3,159","±1,218","90","±141","2,919","±910","1,598","±720","95","±163","1,554","±904","145","±121","149","±194","1,644","±617","550","±394","1,892","±1,112","55","±80","346","±265","8,023","±1,881","620","±341","107","±123","1,883","±899","1,885","±761","168","±160","331","±198","0","±213","",""
"        70 to 74 years","550","±346","73","±119","1,765","±720","471","±464","9,416","±1,871","358","±271","760","±505","154","±145","209","±192","7,147","±1,804","1,445","±773","225","±236","214","±163","1,355","±536","451","±291","294","±218","326","±250","382","±327","59","±102","12","±20","1,149","±1,043","1,622","±791","1,247","±616","916","±517","304","±229","257","±223","0","±185","468","±465","1,292","±949","138","±165","3,761","±1,189","271","±285","4,323","±1,251","1,356","±665","212","±217","1,388","±602","769","±328","822","±534","863","±378","228","±273","471","±392","227","±196","639","±391","3,339","±1,109","662","±446","55","±96","1,107","±544","1,355","±555","0","±206","451","±296","0","±213","",""
"        75 years and over","745","±418","383","±426","2,840","±1,029","474","±337","13,681","±2,166","737","±422","771","±452","117","±116","0","±247","14,594","±2,859","3,834","±1,441","825","±641","244","±203","3,915","±1,530","1,347","±516","353","±208","329","±281","284","±262","681","±337","123","±116","1,702","±718","820","±413","1,417","±562","1,289","±615","502","±366","969","±388","135","±149","427","±253","975","±527","219","±217","3,578","±945","173","±166","4,451","±1,000","1,756","±698","31","±52","1,174","±538","845","±542","965","±533","2,089","±703","411","±369","645","±431","175","±133","760","±410","5,996","±1,573","786","±556","95","±106","1,324","±604","1,883","±753","197","±191","601","±363","0","±213","",""
