Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Legacy Media,Newspapers(1-5 scale),,2016,12,,,
Legacy Media,Going to movies(1-5 scale),440279,1976-1979,8,,,
Legacy Media,Going to movies(1-5 scale),400826,1976-1979,10,,,
Legacy Media,Going to movies(1-5 scale),180104,1976-1979,12,2.72,mean,0.68
Legacy Media,Going to movies(1-5 scale),440279,1980-1984,8,,,
Legacy Media,Going to movies(1-5 scale),400826,1980-1984,10,,,
Legacy Media,Going to movies(1-5 scale),180104,1980-1984,12,2.75,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,1985-1989,8,,,
Legacy Media,Going to movies(1-5 scale),400826,1985-1989,10,,,
Legacy Media,Going to movies(1-5 scale),180104,1985-1989,12,2.78,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,1990-1994,8,2.87,mean,0.76
Legacy Media,Going to movies(1-5 scale),400826,1990-1994,10,2.72,mean,0.7
Legacy Media,Going to movies(1-5 scale),180104,1990-1994,12,2.7,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,1995-1999,8,2.89,mean,0.76
Legacy Media,Going to movies(1-5 scale),400826,1995-1999,10,2.73,mean,0.7
Legacy Media,Going to movies(1-5 scale),180104,1995-1999,12,2.7,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,2000-2004,8,2.9,mean,0.77
Legacy Media,Going to movies(1-5 scale),400826,2000-2004,10,2.75,mean,9.7
Legacy Media,Going to movies(1-5 scale),180104,2000-2004,12,2.72,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,2005-2009,8,2.86,mean,0.77
Legacy Media,Going to movies(1-5 scale),400826,2005-2009,10,2.73,mean,0.7
Legacy Media,Going to movies(1-5 scale),180104,2005-2009,12,2.68,mean,0.67
Legacy Media,Going to movies(1-5 scale),440279,2010,8,2.75,mean,0.75
Legacy Media,Going to movies(1-5 scale),400826,2010,10,2.65,mean,0.68
Legacy Media,Going to movies(1-5 scale),180104,2010,12,2.62,mean,0.66
Legacy Media,Going to movies(1-5 scale),440279,2011,8,2.7,mean,0.74
Legacy Media,Going to movies(1-5 scale),400826,2011,10,2.57,mean,0.68
Legacy Media,Going to movies(1-5 scale),180104,2011,12,2.53,mean,0.66
Legacy Media,Going to movies(1-5 scale),440279,2012,8,2.68,mean,0.73
