State,Start Grade,End Grade,Start_Year,End_Year,Year,Start_Retention_Count,End_Retention_Count,Derived Cohort Loss Count,Drop_Pct,apportioned_migrants
Ohio,Grade 8,Grade 10,2013-2014,2015-2016,2016,857.0,4603.0,0.0,0.0,6816.211363154547
Ohio,Grade 8,Grade 10,2015-2016,2017-2018,2018,887.0,3464.0,0.0,0.0,0.0
Oklahoma,Grade 10,Grade 12,2013-2014,2015-2016,2016,1331.0,829.0,502.0,37.7160030052592,20384.66375799884
Oklahoma,Grade 10,Grade 12,2015-2016,2017-2018,2018,1383.0,1386.0,0.0,0.0,0.0
Oklahoma,Grade 8,Grade 10,2013-2014,2015-2016,2016,388.0,1383.0,0.0,0.0,5942.336242001164
Oklahoma,Grade 8,Grade 10,2015-2016,2017-2018,2018,278.0,2454.0,0.0,0.0,0.0
Oregon,Grade 10,Grade 12,2013-2014,2015-2016,2016,1820.0,2421.0,0.0,0.0,18008.16479400749
Oregon,Grade 10,Grade 12,2015-2016,2017-2018,2018,793.0,1467.0,0.0,0.0,0.0
Oregon,Grade 8,Grade 10,2013-2014,2015-2016,2016,49.0,793.0,0.0,0.0,484.8352059925094
Oregon,Grade 8,Grade 10,2015-2016,2017-2018,2018,54.0,399.0,0.0,0.0,0.0
Pennsylvania,Grade 10,Grade 12,2013-2014,2015-2016,2016,4519.0,4331.0,188.0,4.16021243637973,38460.66164125407
Pennsylvania,Grade 10,Grade 12,2015-2016,2017-2018,2018,5105.0,4452.0,653.0,12.7913809990206,0.0
Pennsylvania,Grade 8,Grade 10,2013-2014,2015-2016,2016,1318.0,5105.0,0.0,0.0,11217.33835874593
Pennsylvania,Grade 8,Grade 10,2015-2016,2017-2018,2018,1027.0,6009.0,0.0,0.0,0.0
Rhode Island,Grade 10,Grade 12,2013-2014,2015-2016,2016,397.0,503.0,0.0,0.0,7357.110588235294
Rhode Island,Grade 10,Grade 12,2015-2016,2017-2018,2018,336.0,384.0,0.0,0.0,0.0
Rhode Island,Grade 8,Grade 10,2013-2014,2015-2016,2016,28.0,336.0,0.0,0.0,518.8894117647059
Rhode Island,Grade 8,Grade 10,2015-2016,2017-2018,2018,44.0,301.0,0.0,0.0,0.0
South Carolina,Grade 10,Grade 12,2013-2014,2015-2016,2016,3685.0,1261.0,2424.0,65.7801899592944,33804.20810747113
South Carolina,Grade 10,Grade 12,2015-2016,2017-2018,2018,3610.0,1153.0,2457.0,68.0609418282548,0.0
South Carolina,Grade 8,Grade 10,2013-2014,2015-2016,2016,558.0,3610.0,0.0,0.0,5118.791892528871
South Carolina,Grade 8,Grade 10,2015-2016,2017-2018,2018,489.0,3137.0,0.0,0.0,0.0
South Dakota,Grade 10,Grade 12,2013-2014,2015-2016,2016,510.0,294.0,216.0,42.3529411764706,3508.7617260787993
South Dakota,Grade 10,Grade 12,2015-2016,2017-2018,2018,585.0,305.0,280.0,47.8632478632479,0.0
